"","over_60","partnered","living_alone","Home_owner","young_child","Numb_dep","Have_dep","Main_carer_dep","PPeligible","IWSSUCP8","SIHPSWT"
"176",0,1,0,0,23,1,1,1,0,1392,907.475166177069
"177",0,0,1,0,NA,0,0,0,0,962,907.475166177069
"178",0,1,0,1,1,2,1,1,1,2539,779.235599501406
"179",0,1,0,1,1,2,1,1,1,346,779.235599501406
"180",0,1,0,0,14,1,1,1,0,0,1987.75391422727
"181",0,1,0,0,14,1,1,0,0,0,1987.75391422727
"182",0,0,1,0,NA,0,0,0,0,0,1987.75391422727
"183",1,1,0,1,NA,0,0,0,0,0,269.31641997812
"184",1,1,0,1,NA,0,0,0,0,0,269.31641997812
"185",0,1,0,1,22,1,1,1,0,1000,134.524741295464
"186",0,1,0,1,22,1,1,1,0,200,134.524741295464
"187",0,1,0,0,22,1,1,1,0,1200,134.524741295464
"188",1,0,1,1,NA,0,0,0,0,0,64.3716438749494
"189",1,1,0,1,NA,0,0,0,0,0,205.817533295257
"190",1,1,0,1,NA,0,0,0,0,0,205.817533295257
"191",0,1,0,0,5,2,1,1,1,1250,1034.24785740575
"192",0,1,0,0,5,2,1,1,1,1250,1034.24785740575
"193",0,1,0,0,NA,0,0,0,0,0,163.530331623589
"194",0,1,0,0,NA,0,0,0,0,0,163.530331623589
"195",1,0,1,1,NA,0,0,0,0,0,163.530331623589
"196",1,0,1,1,NA,0,0,0,0,0,986.193077140831
"197",1,1,0,1,NA,0,0,0,0,1281,86.9757362406814
"198",1,1,0,1,NA,0,0,0,0,0,86.9757362406814
"199",0,1,0,1,NA,0,0,0,0,0,258.68239879188
"200",1,1,0,1,NA,0,0,0,0,0,258.68239879188
"201",0,1,0,1,NA,0,0,0,0,691,452.432054379745
"202",0,1,0,1,NA,0,0,0,0,903,452.432054379745
"203",0,1,0,0,NA,0,0,0,0,1800,131.013120373923
"204",0,1,0,0,NA,0,0,0,0,1923,131.013120373923
"205",1,1,0,1,NA,0,0,0,0,0,341.719503137252
"206",0,1,0,1,NA,0,0,0,0,0,341.719503137252
"207",0,0,1,1,NA,0,0,0,0,7018,731.283479754878
"208",0,0,1,1,NA,0,0,0,0,1630,134.436086122481
"209",0,1,0,1,NA,0,0,0,0,0,1077.84397254349
"210",0,1,0,1,NA,0,0,0,0,1399,1077.84397254349
"211",0,1,0,1,0,3,1,1,1,2404,528.977322779823
"212",0,1,0,1,0,3,1,1,1,0,528.977322779823
"213",1,0,1,1,NA,0,0,0,0,0,77.6170530858921
