"AGEEC","wage","over_60","partnered","living_alone","Have_dep","Home_owner","HECSDebt","young_child","partner_earnings","Numb_dep","Rent","Main_carer_dep","PPeligible","child_ages","hours","TotalGovtPay_Stated","DispInc_Stated","EmployeeInc_Stated","AgedPen_Stated","FTB_Stated","PP_Stated","CRA_Stated","JSP_Stated","JSP_SIH_Modelled","FTB_SIH_Modelled","PP_SIH_Modelled","AgedPen_SIH_Modelled","CRA_SIH_Modelled","net_income","income_tax","work_income","JSP","PP_Pay","RA","ES","taxable_benefit","gross_income","gross_fam_income","net_fam_a_income","net_fam_b_income","HECS_payment"
61,114.775,1,1,0,0,1,0,NA,0,0,NA,0,0,"",40,0,4596.3,4591,0,0,0,0,0,0,0,0,0,0,3042.41538461538,1548.58461538462,4591,0,0,0,0,0,4591,4591,0,0,0
61,0,1,1,0,0,1,0,NA,6096.79,0,NA,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.8,0,0,250.85,0,0,3.95,250.85,250.85,368.095961538461,0,0,0
43,0,0,0,0,1,0,800,15,38,2,680,1,0,"",0,830.82,853.82,0,0,273,0,80.57,0,0,334.04,0,0,80.57,385.65875,0,0,300.55,0,80.35875,4.75,300.55,300.55,301.280769230769,0,0,0
16,0,0,0,0,1,0,0,15,23,2,680,1,0,"",0,0,38,0,0,0,0,0,0,0,0,0,0,0,385.65875,0,0,300.55,0,80.35875,4.75,300.55,300.55,300.992307692308,0,0,0
15,0,0,0,0,1,0,0,15,61,2,680,1,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.65875,0,0,300.55,0,80.35875,4.75,300.55,300.55,301.723076923077,0,0,0
40,34.1777777777778,0,1,0,0,1,0,NA,1540,0,NA,0,0,"",45,0,1311.07,1538,0,0,0,0,0,0,0,0,0,0,1200.70769230769,337.292307692308,1538,0,0,0,0,0,1538,1567.61538461538,0,0,0
29,43.9428571428571,0,1,0,0,1,0,NA,1538,0,NA,0,0,"",35,0,1312.37,1538,0,0,0,0,0,0,0,0,0,0,1200.70769230769,337.292307692308,1538,0,0,0,0,0,1538,1567.57692307692,0,0,0
39,58.9285714285714,0,0,1,0,1,0,NA,0,0,NA,0,0,"",42,0,1820.32,2475,0,0,0,0,0,0,0,0,0,0,1799.69230769231,675.307692307692,2475,0,0,0,0,0,2475,2475,0,0,0
33,47.5666666666667,0,0,1,0,0,0,NA,0,0,0,0,0,"",60,0,2016.74,2854,0,0,0,0,0,0,0,0,0,0,2038.46230769231,815.537692307692,2854,0,0,0,0,0,2854,2854,0,0,0
63,0,1,1,0,0,1,0,NA,0,0,NA,0,0,"",0,339.8,339.8,0,0,0,0,0,0,0,0,0,0,0,254.8,0,0,250.85,0,0,3.95,250.85,250.85,250.85,0,0,0
61,0,1,1,0,0,1,0,NA,0,0,NA,0,0,"",0,339.8,339.8,0,0,0,0,0,0,0,0,0,0,0,254.8,0,0,250.85,0,0,3.95,250.85,250.85,250.85,0,0,0
32,0,0,0,1,0,0,0,NA,0,0,300,0,0,"",0,551.56,551.56,0,0,0,0,0,0,0,0,0,0,66.6,348.85,0,0,277.85,0,66.6,4.4,277.85,277.85,277.85,0,0,0
49,0,0,0,1,0,0,0,NA,0,0,210,0,0,"",0,478.55,478.55,0,0,0,0,0,0,0,0,0,0,0,315.1,0,0,277.85,0,32.85,4.4,277.85,277.85,277.85,0,0,0
24,6.475,0,0,1,0,0,0,NA,0,0,300,0,0,"",40,741,858.86,259,0,0,0,0,0,0,0,0,0,0,500.7,0,259,170.7,0,66.6,4.4,170.7,429.7,429.7,0,0,0
29,0,0,1,0,1,1,0,0,1257,2,NA,1,1,"0,1",0,271,271,0,0,271,0,0,0,0,314.63,0,0,0,476.485,0,0,0,250.85,0,3.95,250.85,250.85,275.023076923077,197.96,23.725,0
24,31.425,0,1,0,1,1,0,0,0,2,NA,0,0,"0,1",40,0,1103.88,1257,0,0,0,0,0,0,0,0,0,0,1011.03269230769,245.967307692308,1257,0,0,0,0,0,1257,1257,0,0,0
39,0,0,1,0,1,1,0,7,0,1,NA,0,0,"7",0,74,722.89,560,0,74,0,0,0,0,184.24,0,0,0,254.8,0,0,250.85,0,0,3.95,250.85,250.85,250.85,0,0,0
39,0,0,1,0,1,1,0,7,696,1,NA,1,0,"7",40,0,0,0,0,0,0,0,0,0,0,0,0,0,353.78,0,0,250.85,0,0,3.95,250.85,250.85,264.234615384615,98.98,0,0
57,0,0,1,0,1,1,0,16,0,1,NA,0,0,"",0,0,1047.16,0,0,0,0,0,0,0,0,0,0,0,254.8,0,0,250.85,0,0,3.95,250.85,250.85,250.85,0,0,0
16,0,0,1,0,1,0,0,16,1302,1,0,1,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.8,0,0,250.85,0,0,3.95,250.85,250.85,275.888461538462,0,0,0
34,20,0,1,0,1,1,0,5,1982,3,NA,1,1,"5,8,10",25,0,486.69,500,0,0,0,0,0,0,0,0,0,0,785.851538461538,15.0384615384615,500,0,0,0,3.95,0,500,538.115384615385,296.94,0,0
36,39.6,0,1,0,1,1,0,5,502,3,NA,1,1,"5,8,10",50,0,1526.01,1980,0,0,0,0,0,0,0,0,0,0,1499.00942307692,492.157692307692,1980,0,0,0,0,0,1980,1989.65384615385,11.1671153846154,0,0
19,17.1944444444444,0,0,1,0,0,0,NA,0,0,46,0,0,"",36,0,586.84,619,0,0,0,0,0,0,0,0,0,0,581.351538461538,37.6484615384615,619,0,0,0,0,0,619,619,0,0,0
22,26,0,0,1,0,0,9238,NA,0,0,46,0,0,"",33,0,757.88,858,0,0,0,0,0,0,0,0,0,0,748.326923076923,109.673076923077,858,0,0,0,0,0,858,858,0,0,0
57,60.6981132075472,0,1,0,0,1,0,NA,901.5,0,NA,0,0,"",53,0,2482.63,3217,0,0,0,0,0,0,0,0,0,0,2267.15230769231,949.847692307692,3217,0,0,0,0,0,3217,3234.33653846154,0,0,0
60,0,1,1,0,0,1,0,NA,3255,0,NA,0,0,"",0,0,866.46,0,0,0,0,0,0,0,0,0,0,0,254.8,0,0,250.85,0,0,3.95,250.85,250.85,313.446153846154,0,0,0
